clinic,city,phone,owner,kilde,status,neste
Ammerud Tannklinikk,Ammerud / Groruddalen,+47 22 25 37 76,,prospects-v5,,
Tannlege Kristi Marie Aasand,Åmot (Modum),,Kristi Marie Aasand,no-website,,
Tannlege Sarfraz Nawaz,Åsgårdstrand,,Sarfraz Nawaz,community,,
Asker Tannhelse AS,Asker sentrum,+47 66 78 65 00,,prospects-v5,,
Askim Tannhelsesenter (Heyden og Berg),Askim / Indre Østfold,+47 69 88 12 30,,prospects-v5,,
Tannlege Muayad Khalid Ali,Drammen,,Muayad Khalid Ali,no-website,,
Tannlege Torill Nordhus Claudi,Drammen,,Torill Nordhus Claudi,no-website,,
Tannlege Qureshi,Drammen,,Ferhat Qureshi Iqbal,community,,
Clear Tannlegesenter,Drammen sentrum,+47 23 65 43 43,,prospects-v5,,
Drammen Tannhelsesenter,Drammen sentrum,+47 40 07 00 26,,prospects-v5,,
Tannlege Vemund Jenssen,Eidsvoll,+47 63 96 49 38,Vemund Jenssen,prospects-v5,,
Tannlege Hieu Trung Tran,Eidsvoll Verk,+47 63 95 20 40,Hieu Trung Tran,prospects-v5,,
Kostolna Dent,Finstadjordet,408 63 584,Nora Kostolna,no-website,,
Fjerdingby Tannhelse AS,Fjerdingby,968 64 132,Vaida Urbutiene,no-website,,
Hadeland Tannklinikk,Gran,917 04 984,Tahir Rustam,community,,
Grünerløkkas Hus Tannlegesenter,Grünerløkka,+47 22 38 20 18,,prospects-v5,,
Blid – Tannlege Grünerløkka (+ Ensjø),Grünerløkka / Ensjø,+47 22 12 00 33,,prospects-v5,,
Halden Dental Center AS,Halden,+47 69 17 51 52,,prospects-v5,,
Dyrendal Tannhelsesenter,Halden,+47 69 21 10 60,,prospects-v5,,
Dentist Budak,Hokksund,+47 32 75 32 32,Lutfi Budak (trolig eier),prospects-v5,,
Hokksund Tannlegesenter,Hokksund,+47 32 75 20 50,,prospects-v5,,
Holmliatannlegene,Holmlia,+47 22 61 42 08,,prospects-v5,,
Ringerike Tannlegesenter AS,Hønefoss,32 12 10 07,Bjørn Even Asvald Gulsvik,no-website,,
Byens Tannlege Hønefoss,Hønefoss,+47 91 25 19 04,,prospects-v5,,
Sentrumstannlegene Hønefoss,Hønefoss,+47 32 12 23 76,,prospects-v5,,
Tannlege Niclas Berggren,Hønefoss,+47 32 12 10 10,Niclas Berggren,prospects-v5,,
Linden Tannklinikk AS,Horten,+47 33 50 21 22,,prospects-v5,,
Dental House AS,Horten,+47 33 04 59 55,,prospects-v5,,
Tannlege Amina Zirak Ahmed,Horten,33 04 08 00,Amina Zirak Ahmed,community,,
Tannlege Espen Solberg,Jessheim,,Espen Solberg,no-website,,
OC Kolbotn Tannhelse AS,Kolbotn,+47 66 80 25 15,,prospects-v5,,
Kongsberg Tannlegesenter AS,Kongsberg,+47 32 73 14 34,,prospects-v5,,
Accept Dental Kongsberg,Kongsberg,+47 32 75 32 33,,prospects-v5,,
Tannlege Andrei Jachter,Kongsberg,+47 32 73 24 97,Andrei Jachter,prospects-v5,,
Tannlege Rana,Kongsberg,32 73 19 49,Ayden Ali Rana,community,,
Tannlege Per Hafthun AS,Kongsvinger,62 81 50 09,Awais Ahmad Mushtaq,community,,
Tannlege Ståle Bratland,Krokstadelva,,Ståle Bratland,no-website,,
Lambertseter-klyngen (3 klinikker),Lambertseter / Oslo sør,+47 40 20 60 30,,prospects-v5,,
Tannlege Sølve Larsen,Lillestrøm,,Sølve Larsen,no-website,,
Tannlegene i Concordiabygget,Lillestrøm,+47 63 80 55 77,,prospects-v5,,
Tannlege Atiqa Anam Khan (eget AS),Lillestrøm,,Atiqa Anam Khan,community,,
Tannlege Kanwal Bhatti,Lørenskog,,Kanwal Bhatti,no-website,,
Tannlege Wubalem Kassahun,Lørenskog,,Wubalem Kassahun,no-website,,
Dental Center Lørenskog,Lørenskog,+47 67 91 72 00,,prospects-v5,,
Tannlege Waqas Khan,Lørenskog,,Waqas-Ul-Hassan Khan,community,,
Tannlege Hadeeqa Butt,Lørenskog,,Hadeeqa Muqaddas Butt,community,,
Fjellhamar Tannlegesenter AS,Lørenskog – Fjellhamar,67 90 13 84,Emal Mangal,no-website,,
Grefsenveien Tannlegesenter,Lørenskog – Fjellhamar,940 37 171,Sana Shaddiq,no-website,,
Majorstuen Tannlegesenter,Majorstuen,+47 22 46 67 54,,prospects-v5,,
Tannlege Sania Malik,Mjøndalen,,Sania Malik,community,,
Tannlege Hai Hoang Nguyen,Moss,69 25 43 55,Hai Hoang Nguyen,no-website,,
Kambo Tannklinikk,Moss,69 25 25 00,Emilia Rudnicka,no-website,,
Jeløy Tannklinikk AS,Moss,478 61 000,Helene Kristiansen Myhre,no-website,,
Tannlege Anders Tvete,Moss,,Anders Tvete,no-website,,
Tannlege Olav Johansen,Moss,,Olav Johansen,no-website,,
Tannlege Aiman Rafique,Moss,,Aiman Rafique,community,,
Tannlege Rahman,Moss,,Adib Rahman,community,,
Tannlege Gisle Lauvstad,Mysen,971 30 701,Gisle Tore Lauvstad,no-website,,
Sommerro Tannklinikk,Nittedal,+47 67 07 22 69,,prospects-v5,,
Bellevue Tannhelse AS,Nøtterøy,33 40 18 36,Kjersti Gjertrud Kvello,no-website,,
Smil Tannlegesenter Nydalen,Nydalen,+47 23 65 18 81,,prospects-v5,,
Tanntunet Tannhelsesenter,Nydalen / Storo,+47 22 15 00 00,,prospects-v5,,
Dr. Erlend Christoffer Sommer Landsend,Oslo – Adamstua,,Erlend C. Sommer Landsend,no-website,,
Tannlege M.S Butt,Oslo – Bjørndal,,Marja Sheraz Umar Butt,community,,
Tannlege Hamna Sheikh,Oslo – Bjørndal,,Hamna Sheikh,community,,
Tannlege Nanne Daae,Oslo – Bryn,,Nanne Daae,no-website,,
Densart Piene,Oslo – Bygdøy,,,no-website,,
Elisabeth Aurstad Riksen AS,Oslo – Frogner,,Elisabeth Aurstad Riksen,no-website,,
Tannlege Geir Brandsdal,Oslo – Grefsen,,Geir Brandsdal,no-website,,
Gamle Oslo Tannklinikk AS,Oslo – Grønland,,Tania Aleksandersen,no-website,,
Tannlege Anna Sala i Dorca,Oslo – Grønland,,Anna Sala i Dorca,no-website,,
Dent AS Ste-AL,Oslo – Grorud,,,no-website,,
Hassan Khan Tannlege,Oslo – Grorud,984 66 773,Hassan Khan,community,,
Tannlege Ariba Hussain,Oslo – Grorud,,Ariba Hussain,community,,
Dentalz AS,Oslo – Helsfyr,,Ali Mousavi,no-website,,
Ekko Smil Tannklinikk AS,Oslo – Majorstua,,Nadia Akhtarshenas,no-website,,
Bislet Tannlegesenter,Oslo – Majorstua,,Bjørn V. Knutsen,no-website,,
Cortanx Chortanoski,Oslo – Sinsen,,,no-website,,
Tannlege Sarwat Aziz Malik,Oslo – Stovner,,Sarwat Aziz Malik,community,,
Enerhaugen helsehus Rafdent tannlege AS,Oslo – Tøyen,,,no-website,,
Tannlege Silke Bäätjer,Oslo – Tøyen,,Silke Bäätjer,no-website,,
Tannlege Hussain,Oslo – Tøyen,,Atiya Hussain Zaidi,community,,
Egertorget Tannklinikk AS,Oslo sentrum,90 50 69 85,Tina Anna K Wigforss,no-website,,
Tannlege Oddbjørn Bruaset,Oslo sentrum,,Oddbjørn Bruaset,no-website,,
Dentalpartnere AS,Oslo sentrum,,,no-website,,
Dentas AS,Oslo sentrum,,,no-website,,
Tannlege Randi Elde,Oslo sentrum,,Randi Elde,no-website,,
Eli's Tannklinikk,Oslo sentrum,,,no-website,,
Tannlege Ingeborg Engeseth,Oslo sentrum,,Ingeborg Engeseth,no-website,,
Tannlege Marius Gihle,Oslo sentrum,,Marius Gihle,no-website,,
Storbyen Tannklinikk,Sarpsborg,69 16 01 30,Karianne Borgmo,no-website,,
Tannlege Kjetil Pedersen,Sarpsborg,,Kjetil Pedersen,no-website,,
Tannlege Anders Godberg,Sarpsborg,,Anders Godberg,no-website,,
Tannlege Tabish Dilshad,Sarpsborg,478 14 306,Tabish Dilshad,community,,
Tannlege Mohammad Awais Dilshad,Sarpsborg,69 12 06 10,Mohammad Awais Dilshad,community,,
Eurodent Oslo,Sentrum,+47 21 06 66 66,,prospects-v5,,
Skedsmosenter Tannlegekontor,Skedsmokorset,+47 63 87 61 26,,prospects-v5,,
Ski Tannlegesenter,Ski / Nordre Follo,+47 64 85 26 00,,prospects-v5,,
Follo Tannlegesenter,Ski / Nordre Follo,+47 64 87 53 20,,prospects-v5,,
Tannlege Angelina Grønli,Sørumsand,,Angelina Grønli,no-website,,
Strømmen Tannklinikk Pluss,Strømmen,+47 97 34 30 88,Majid Rahimi,prospects-v5,,
Tannlege Govind Bagri,Tønsberg,,Govind Bagri,no-website,,
Tønsberg Tannlegevakt,Tønsberg,+47 40 61 12 12,,prospects-v5,,
Tonsberg Dental AS,Tønsberg,+47 33 37 98 00,,prospects-v5,,
Frisk Tannhelse avd. Tønsberg,Tønsberg,+47 33 32 84 50,,prospects-v5,,
