clinic,city,contact_name,email,website,subject,status
Dental Studio Ensjø,Oslo,,ensjo@dentalstudio.no,https://dentalstudio.no,Flere pasienter til Dental Studio Ensjø – gratis oppstartsmåned,ready
Dental Studio Lørenskog,Lørenskog,,lorenskog@dentalstudio.no,https://dentalstudio.no,Flere pasienter til Dental Studio Lørenskog – gratis oppstartsmåned,ready
Smil Tannlegesenter Bjørvika,Oslo,,info@smiltannlegesenter.no,https://www.smiltannlegesenter.no,Fyll kalenderen hos Smil Tannlegesenter Bjørvika – gratis oppstartsmåned,ready
Smil Tannlegesenter Bekkestua,Bekkestua,,info@smiltannlegesenter.no,https://www.smiltannlegesenter.no,Fyll kalenderen hos Smil Tannlegesenter Bekkestua – gratis oppstartsmåned,duplicate-email (same as Bjørvika – send one combined)
Oslo Vest Tannklinikk,Oslo,,,https://oslovesttannklinikk.no,Flere pasienter til Oslo Vest Tannklinikk – gratis oppstartsmåned,email mangler – sjekk kontaktskjema på nettsiden
Lysaker Brygge Tannklinikk,Lysaker,Louise,post@lysakerbryggetannklinikk.no,https://lysakerbryggetannklinikk.no,Flere timebestillinger til Lysaker Brygge Tannklinikk – gratis oppstartsmåned,ready
Rosenhoff Tannklinikk,Oslo,,rosenhoff.tannklinikk@gmail.com,https://www.rosenhofftannklinikk.no,Flere pasienter til Rosenhoff Tannklinikk – gratis oppstartsmåned,ready
Kransen Tannlegesenter,Moss,,kransen@smilehull.no,https://kransentannlegesenter.no,Flere pasienter til Kransen Tannlegesenter – gratis oppstartsmåned,ready
Tannkunsten,Ski,Alan,hei@tannkunsten.no,https://tannkunsten.no,Fyll kalenderen hos Tannkunsten – gratis oppstartsmåned,ready
Arkaden Tann,Oslo,Anne,arkadentann@gmail.com,https://arkadentann.no,Flere pasienter til Arkaden Tann – gratis oppstartsmåned,ready
Glint Tannhelse,Gjerdrum,,kontakt@glinttannhelse.no,https://www.glinttannhelse.no,Flere timebestillinger til Glint Tannhelse – gratis oppstartsmåned,ready
Mint Dental / Mint Tannhelse,Oslo,Sara,,https://www.octannklinikker.no/sarasolstad,Flere pasienter til Mint Tannhelse – gratis oppstartsmåned,email mangler
TannSpes,Oslo,,post@tannspes.no,https://tannspes.no,Flere henvisninger og synlighet for TannSpes – gratis oppstartsmåned,ready
Tannami Klinikk,Billingstad,,avtale@tannami.no,https://www.tannami.no,Flere pasienter til Tannami Klinikk – gratis oppstartsmåned,ready
NorFloss,Halden,,smil@norfloss.no,https://norfloss.no,Fyll kalenderen hos NorFloss – gratis oppstartsmåned,ready
Lille Smil,Lillestrøm,Emeline,hei@lillesmil.no,https://lillesmil.no,Flere pasienter til Lille Smil – gratis oppstartsmåned,ready
Sportsklinikken,Oslo,,,,Flere pasienter til Sportsklinikken – gratis oppstartsmåned,nettside og email mangler
Romerike Tannlegesenter,Kløfta,,post@romeriketannlegesenter.no,https://romeriketannlegesenter.no,Flere timebestillinger til Romerike Tannlegesenter – gratis oppstartsmåned,ready
Tannlegehuset Lillestrøm,Lillestrøm,,hei@tannlegehusetlillestrom.no,https://tannlegehusetlillestrom.no,Flere pasienter til Tannlegehuset Lillestrøm – gratis oppstartsmåned,ready
Nurdent Lillestrøm Tannlegesenter,Lillestrøm,,,https://nurdent.no,Flere pasienter til Nurdent Lillestrøm – gratis oppstartsmåned,email mangler – sjekk kontaktskjema
Ullensaker Tannlegesenter,Jessheim,,post@ullensakertannlegesenter.no,https://ullensakertannlegesenter.no,Flere timebestillinger til Ullensaker Tannlegesenter – gratis oppstartsmåned,ready
Greverud Tannlegesenter,Oppegård,,post@greverudtannlegesenter.no,https://greverudtannlegesenter.no,Flere pasienter til Greverud Tannlegesenter – gratis oppstartsmåned,ready
Clear Tannlegesenter Drammen,Drammen,,post@cleartannlegesenter.no,https://www.cleartannlegesenter.no,Fyll kalenderen hos Clear Tannlegesenter – gratis oppstartsmåned,ready
Stadion Tannklinikk,Hamar,Inge,post@stadion-tannklinikk.no,https://www.stadiontannklinikk.no,Flere pasienter til Stadion Tannklinikk – gratis oppstartsmåned,ready
Tønsberg Tannlegesenter,Tønsberg,Natalya,post@tonsbergtannlegesenter.no,https://www.tonsbergtannlegesenter.no,Flere timebestillinger til Tønsberg Tannlegesenter – gratis oppstartsmåned,ready
Tannhuset Lillehammer,Lillehammer,Dag,post@tannlegenordblom.no,https://tannlegenordblom.no,Flere pasienter til Tannhuset Lillehammer – gratis oppstartsmåned,ready
Tannhjørnet Krøgenes,Arendal,Anna,post@tannhjornet.no,https://tannhjornet.no,Flere pasienter til Tannhjørnet Krøgenes – gratis oppstartsmåned,ready
Fagerholt Tannlegesenter,Kristiansand,,kontakt@fagtann.no,https://fagtann.no,Flere timebestillinger til Fagerholt Tannlegesenter – gratis oppstartsmåned,ready
