clinic,city,address,phone,website,rating,reviews,status
"Sanner Tannklinikk / Tannlegevakt","Oslo","Sannergata 38B, 0557 Oslo","22 37 41 74","https://sannertannklinikk.no/","4.9","150","new"
"Tannlegevakt-Optimal Dental","Oslo","Tordenskiolds gate 7, 0160 Oslo","41 28 50 85","http://www.optimaldentaloslo.no/","4.9","107","new"
"Oslocity tannlegesenter","Oslo","Brugata 1, 0186 Oslo","95 33 99 99","https://www.oslocitytannlege.no/","4.8","98","new"
"Eurodent Oslo tannklinikk og oralkirurgi","Oslo","Akersgata 16, 0158 Oslo","21 06 66 66","https://eurodent.no/tannlege-oslo","4.4","232","new"
"Tanntunet Tannhelsesenter Oslo","Oslo","Nydalen allé 71, 0485 Oslo","22 15 00 00","https://tanntunet.no/","4.8","94","new"
"Valkyrien Tannlegesenter","Oslo","Sorgenfrigata 15, 0365 Oslo","96 70 07 77","https://tannlegevoslo.no/","4.9","65","new"
"Fjærvik klinikken AS","Oslo","Sommerrogata 13, 0255 Oslo","21 63 16 00","http://fktannlege.no/","4.9","147","new"
"Mer Klinikken","Oslo","Beddingen 4, 6, 0250 Oslo","23 65 11 77","https://www.mer-klinikken.no/","4.8","289","new"
"Bislett Tannhelsesenter","Oslo","Pilestredet 75D, 0354 Oslo","22 15 50 17","https://bislettannhelsesenter.no/","4.8","96","new"
"TANNAKUTTEN","Oslo","Hansteens gate 3, 0253 Oslo","815 00 345","http://www.tannakutten.no/","4.8","49","new"
"Stortorvet Tannhelsesenter","Oslo","Karl Johans gt. 13, 0154 Oslo","22 41 66 90","https://www.stortann.no/","5","11","new"
"Baltic Tannklinikk","Drammen","Gamle Kirkeplass 4, 3019 Drammen","41 34 10 10","https://www.baltictannklinikk.no/","4.9","304","new"
"Tannfeen Drammen","Drammen","Hauges gate 19, 3019 Drammen","32 83 90 00","https://tannfeen.no/klinikk/drammen/","4.6","199","new"
"Tenners venner AS - Din lokale Tannlege og Tannpleier i Drammen","Drammen","Vårveien 24, 3024 Drammen","32 82 38 30","https://tennersvenner.no/","5","10","new"
"Tannlege Reidar Bjørkli","Drammen","Bragernes Torg 4, 3017 Drammen","32 83 41 13","http://www.tannlegebjorkli.com/","4.3","6","new"
"Tannlege Tom Stokke","Drammen","Tollbugata 5, 3044 Drammen","32 20 00 40","https://tannlegetomstokke.no/","4.3","4","new"
"Babak Teimouri","Drammen","Nedre Storgate 13, 3015 Drammen","32 83 69 34","https://www.legelisten.no/tannleger/12071-babak-teimouri","5","11","new"
"Tannlege Anne Sofie Hovde Helgesen","Drammen","Torgeir Vraas Plass 4, 3044 Drammen","32 83 10 54","","5","1","new"
"Tannlege Sissel Helgetveit","Drammen","Bragernes Torg 4, 3017 Drammen","32 83 52 94","http://helgetveit.no/","5","8","new"
"Sentrum tannlegekontor AS","Drammen","Nedre Storgate 13, 3015 Drammen","32 83 69 34","","2.7","3","new"
"Tannlege Bjørn Frode Hansen","Drammen","Nedre Storgate 11a, 3015 Drammen","32 83 60 62","","5","1","new"
"Tannlege Juliana Pinheiro Garder","Drammen","Nedre Storgate 11, 3015 Drammen","32 83 35 29","","5","2","new"
"Tannlege Hans Morten Alm","Drammen","Øvre Torggate 10, 3017 Drammen","32 83 60 00","http://www.drammen-tannlegesenter.no/teamene","5","1","new"
