clinic,city,phone,website,email,status
"Sanner Tannklinikk / Tannlegevakt","Oslo","22 37 41 74","https://sannertannklinikk.no/","post@sannertannklinikk.no","ok"
"Valkyrien Tannlegesenter","Oslo","96 70 07 77","https://tannlegevoslo.no/","time@tannlegevoslo.no","ok"
"Mer Klinikken","Oslo","23 65 11 77","https://www.mer-klinikken.no/","post@mer-klinikken.no","ok"
"Bislett Tannhelsesenter","Oslo","22 15 50 17","https://bislettannhelsesenter.no/","post@bislettannhelsesenter.no","ok"
"Stortorvet Tannhelsesenter","Oslo","22 41 66 90","https://www.stortann.no/","post@stortann.no","ok"
"Tannlegevakt-Optimal Dental","Oslo","41 28 50 85","http://www.optimaldentaloslo.no/","post@optimaldentaloslo.no","ok"
"Fjærvik klinikken AS","Oslo","21 63 16 00","http://fktannlege.no/","post@fjaervikklinikken.no","ok"
"Eurodent Oslo tannklinikk og oralkirurgi","Oslo","21 06 66 66","https://eurodent.no/tannlege-oslo","oslo@eurodent.no","ok (2. pass)"
"Tannlege Anne Sofie Hovde Helgesen","Drammen","32 83 10 54","","","ingen nettside"
"Tanntunet Tannhelsesenter Oslo","Oslo","22 15 00 00","https://tanntunet.no/","post@tanntunet.no","ok"
"Sentrum tannlegekontor AS","Drammen","32 83 69 34","","","ingen nettside"
"Tannlege Bjørn Frode Hansen","Drammen","32 83 60 62","","","ingen nettside"
"Tannlege Juliana Pinheiro Garder","Drammen","32 83 35 29","","","ingen nettside"
"Baltic Tannklinikk","Drammen","41 34 10 10","https://www.baltictannklinikk.no/","info@baltictannklinikk.no","ok (2. pass)"
"Tannfeen Drammen","Drammen","32 83 90 00","https://tannfeen.no/klinikk/drammen/","drammen@tannfeen.no","ok (2. pass)"
"Tannlege Arild Mo","Drammen","32 83 10 54","","","ingen nettside"
"Babak Teimouri","Drammen","32 83 69 34","https://www.legelisten.no/tannleger/12071-babak-teimouri","post@legelisten.no","ok"
"Tannlege Erik Gjemmestad","Drammen","32 82 07 00","","","ingen nettside"
"Tannlege Sissel Helgetveit","Drammen","32 83 52 94","http://helgetveit.no/","tannlege@helgetveit.no","ok"
"Drammen Oralkirurgi","Drammen","32 27 67 50","","","ingen nettside"
"Knut Tannlege Ivarsson","Drammen","32 83 87 45","","","ingen nettside"
"Tannlege Terje Døviken AS","Drammen","32 27 67 50","","","ingen nettside"
"Bragernes Endospesialist AS","Drammen","32 89 98 60","http://www.bragernesendospesialist.com/","bragernes.endo@gmail.com","ok"
"Strømsø tannklinikk","Drammen","32 26 40 94","","","ingen nettside"
"Reidun Sprauten Uhre","Drammen","32 20 28 70","","","ingen nettside"
"Tannlege Tom Stokke","Drammen","32 20 00 40","https://tannlegetomstokke.no/","","ingen e-post funnet"
"Spesialistklinikken Union Brygge","Drammen","97 47 43 00","http://www.spesialistklinikken-unionbrygge.no/","","ingen e-post funnet"
"Tannlege Hans Morten Alm","Drammen","32 83 60 00","http://www.drammen-tannlegesenter.no/teamene","drammen@orisdental.no","ok"
"Drammen Tanntekniske laboratorium","Drammen","47 47 54 44","","","ingen nettside"
"Tannlege Weam El-Athamna","Drammen","90 95 05 35","","","ingen nettside"
"TANNAKUTTEN","Oslo","815 00 345","http://www.tannakutten.no/","post@tannakutten.no","ok"
"Tannlege Jostein Løne","Drammen","32 83 61 63","","","ingen nettside"
"Tannlege Hans J. Salvesen","Drammen","32 20 00 44","","","ingen nettside"
"Tannlege AI","Drammen","","","","ingen nettside"
"Tannlege Aud Brustad Mellbye","Drammen","32 83 60 00","","","ingen nettside"
"Tannlege Bjarne Vangsnes","Drammen","32 83 26 40","","","ingen nettside"
"Bjørn Sæther Tannlege","Drammen","32 27 67 50","","","ingen nettside"
"Tannlege Jan M. Martinsen","Drammen","48 12 90 42","","","ingen nettside"
"Drammen Tannlegesenter","Drammen","32 83 38 72","https://drammentannlegesenter.no/","smilecare@mail.com","ok"
"Oslocity tannlegesenter","Oslo","95 33 99 99","https://www.oslocitytannlege.no/","","ingen e-post funnet"
"Tannlege Reidar Bjørkli","Drammen","32 83 41 13","http://www.tannlegebjorkli.com/","","ingen e-post funnet"
"Drammen implantatsenter","Drammen","32 83 38 72","https://www.drammenimplantatsenter.no/","post@drammenimplantatsenter.no","ok"
"Tannlege Trond Grindheim","Bergen","55 23 23 99","","","ingen nettside"
"tannlegevakten privat","Bergen","92 91 97 07","https://www.tannlegevaktbergen-privat.no/","","ingen e-post funnet"
"Arne Tannlege MNTF Fotland","Bergen","55 23 00 01","","","ingen nettside"
"Kronstad Tannlegesenter","Bergen","55 29 47 11","http://tannlegeslettestol.no/","post@kronstadtannlegesenter.no","ok"
"Tannlege Bjelland & Co","Bergen","55 31 98 66","https://tannlegebjelland.no/","post@tannlegebjelland.no","ok"
"Strømsø Kjeveortopedi AS","Drammen","32 83 30 00","https://www.stromsokjeveortopedi.no/","post@skregis.no","ok"
"Tannlege Tyssekvam","Bergen","55 55 85 45","","","ingen nettside"
"Tannlegevakten","Bergen","55 31 03 10","","","ingen nettside"
"Tannlege i Bergen","Bergen","55 61 20 90","","","ingen nettside"
"Tannlege Tom R. Paulseth AS","Bergen","55 90 10 26","","","ingen nettside"
"Tannlege Njål Askeland","Bergen","55 28 89 43","https://tannlegeaskeland.no/","post@tannlege-askeland.no","ok"
"Tannlege Brox","Drammen","32 83 61 63","http://www.tannlegebrox.no/","post@tannlegebrox.no","ok"
"Tannlege Marianne Lægreid","Bergen","55 90 10 26","","","ingen nettside"
"Terje Mikkelsen Tannlege","Bergen","55 31 67 22","","","ingen nettside"
"Tannlege Sturle Tvedt","Bergen","55 23 24 00","","","ingen nettside"
"Torbjørn Lem Gjesteland","Bergen","55 31 72 10","","","ingen nettside"
"Tenners venner AS - Din lokale Tannlege og Tannpleier i Drammen","Drammen","32 82 38 30","https://tennersvenner.no/","post@tennersvenner.no","ok"
"skydent as","Drammen","98 84 87 11","https://tannlege.drammen.no/","kundeservice@gronlandtannlegevakt.no","ok"
"Tim Szkobcov","Bergen","","http://kjeveortopedibergen.no/","tim@kjeveortopedibergen.no","ok"
"Estetika Tannklinikk - Tannlege Bergen","Bergen","56 90 40 04","https://estetikatannklinikk.no/","kontakt@estetikatannklinikk.no","ok"
"Nydal Birte Tannlege","Bergen","55 31 02 81","","","ingen nettside"
"Tannlege Arne Lund AS","Bergen","55 32 08 04","http://www.broegelmann.no/","broegelmannhuset@orisdental.no","ok"
"Tannlege Anette Amundsen AS","Bergen","45 87 83 00","http://www.tannlegeamundsen.no/","post@tannlegeamundsen.no","ok"
"TANNLEGE BAUGE AS","Bergen","55 59 59 65","https://tannlegebauge.no/","tannlege.bauge@gmail.com","ok"
"Siren Skaale","Bergen","55 32 51 87","","","ingen nettside"
"Tannlege Sverre Eldrup AS","Bergen","55 90 02 30","","","ingen nettside"
"Tannlege Mette Rogne","Bergen","55 32 80 96","","","ingen nettside"
"Tellef Øy Tannlege","Bergen","55 31 58 86","https://tannlege-oy.no/","","ingen e-post funnet"
"Tannlege Frida B. Forland","Bergen","55 31 66 61","http://www.tannlegeforland.no/","post@tannlegeforland.no","ok"
"Truls S Vatne Tannlege (Fortunen)","Bergen","55 90 11 29","","","ingen nettside"
"Tannlege Tore Norderval AS","Bergen","95 00 22 00","http://www.tannlegenorderval.no/","tannlege.norderval@gmail.com","ok"
"Tannlege Raymond de Freitas AS","Trondheim","73 52 77 44","","","ingen nettside"
"Solheimsviken tannklinikk","Bergen","55 33 75 80","https://www.tannlegernorge.no/vestland/bergen/solheimsviken-tannklinikk/","","ingen e-post funnet"
"Tannlege Wiggo Randers AS","Trondheim","73 52 48 68","","","ingen nettside"
"Tannlege Randi Rian Five","Trondheim","73 52 08 75","","","ingen nettside"
"Sentral Dental AS","Trondheim","73 53 45 36","http://www.sentraldental.no/index.php/kontakt-oss","","ingen e-post funnet"
"Tannlege Arne-Henrik Finnanger","Trondheim","92 11 01 02","http://www.tannlege-finnanger.no/","","ingen e-post funnet"
"Bradbenken Dental | Tannlege Trine Aasen & Co","Bergen","55 23 34 20","https://www.bradbenkendental.no/","post@bradbenkendental.no","ok"
"Tannlege Hanne Marita Spissøy","Trondheim","73 53 03 15","","","ingen nettside"
"Nordre Tannhelse","Trondheim","73 84 13 20","","","ingen nettside"
"Tannlege Kristoffer Øvstetun","Bergen","55 90 14 26","http://www.tannlege-ovstetun.no/","post@tannlege-ovstetun.no","ok"
"Lars Husby","Trondheim","73 52 99 55","","","ingen nettside"
"Tannlegesentralen avd Sentrum","Bergen","55 31 60 04","http://www.tannlegesentralen.no/","","ingen e-post funnet"
"Terje Wold AS","Trondheim","73 52 07 97","","","ingen nettside"
"Tannlege Hans-Petter Hille","Bergen","55 32 85 78","http://dreggentann.no/","hille@dreggentann.no","ok"
