practice,city,owner,phone,status,notes
Dentalz AS,Oslo – Helsfyr,Ali Mousavi,,finn tlf,ingen nettside
Ekko Smil Tannklinikk AS,Oslo – Majorstua,Nadia Akhtarshenas,,finn tlf,ingen nettside
Egertorget Tannklinikk AS,Oslo sentrum,Tina Anna K Wigforss,90 50 69 85,ring,ingen nettside
Gamle Oslo Tannklinikk AS,Oslo – Grønland,Tania Aleksandersen,,finn tlf,ingen nettside
Enerhaugen helsehus Rafdent tannlege AS,Oslo – Tøyen,,,finn tlf,ingen nettside
Bislet Tannlegesenter,Oslo – Majorstua,Bjørn V. Knutsen,,finn tlf,ingen nettside
Bogstadveien Tannlegekontor AS,Oslo – Majorstua,,,finn tlf,ingen nettside
Bogstadveien Tannlegesenter AS,Oslo – Majorstua,,,finn tlf,ingen nettside
Tannlege Oddbjørn Bruaset,Oslo sentrum,Oddbjørn Bruaset,,finn tlf,ingen nettside
Tannlege Silke Bäätjer,Oslo – Tøyen,Silke Bäätjer,,finn tlf,ingen nettside
Cortanx Chortanoski,Oslo – Sinsen,,,finn tlf,ingen nettside
Densart Piene,Oslo – Bygdøy,,,finn tlf,ingen nettside
Dentalpartnere AS,Oslo sentrum,,,finn tlf,ingen nettside
Dentas AS,Oslo sentrum,,,finn tlf,ingen nettside
Dent AS Ste-AL,Oslo – Grorud,,,finn tlf,ingen nettside
Tannlege Anna Sala i Dorca,Oslo – Grønland,Anna Sala i Dorca,,finn tlf,ingen nettside
Dr. Erlend Christoffer Sommer Landsend,Oslo – Adamstua,Erlend C. Sommer Landsend,,finn tlf,ingen nettside
Tannlege Nanne Daae,Oslo – Bryn,Nanne Daae,,finn tlf,ingen nettside
Tannlege Randi Elde,Oslo sentrum,Randi Elde,,finn tlf,ingen nettside
Eli's Tannklinikk,Oslo sentrum,,,finn tlf,ingen nettside
Elisabeth Aurstad Riksen AS,Oslo – Frogner,Elisabeth Aurstad Riksen,,finn tlf,ingen nettside
Tannlege Ingeborg Engeseth,Oslo sentrum,Ingeborg Engeseth,,finn tlf,ingen nettside
Tannlege Geir Brandsdal,Oslo – Grefsen,Geir Brandsdal,,finn tlf,ingen nettside
Tannlege Marius Gihle,Oslo sentrum,Marius Gihle,,finn tlf,ingen nettside
Fjellhamar Tannlegesenter AS,Lørenskog – Fjellhamar,Emal Mangal,67 90 13 84,ring,ingen nettside
Grefsenveien Tannlegesenter,Lørenskog – Fjellhamar,Sana Shaddiq,940 37 171,ring,ingen nettside
Lørenskog Tannlegesenter AS,Lørenskog,Avideh Hannani,67 90 40 90,ring,ingen nettside – OBS: annen «Lørenskog Tannlegesenter» med nettside finnes i clinics.csv; verifiser at dette er riktig praksis
Kostolna Dent,Finstadjordet,Nora Kostolna,408 63 584,ring,ingen nettside
Tannlege Kanwal Bhatti,Lørenskog,Kanwal Bhatti,,finn tlf,ingen nettside
Tannlege Wubalem Kassahun,Lørenskog,Wubalem Kassahun,,finn tlf,ingen nettside
Tannlege Sølve Larsen,Lillestrøm,Sølve Larsen,,finn tlf,ingen nettside
Fjerdingby Tannhelse AS,Fjerdingby,Vaida Urbutiene,968 64 132,ring,ingen nettside
Tannlege Angelina Grønli,Sørumsand,Angelina Grønli,,finn tlf,ingen nettside
Tannlege Espen Solberg,Jessheim,Espen Solberg,,finn tlf,ingen nettside
Tannlege Hai Hoang Nguyen,Moss,Hai Hoang Nguyen,69 25 43 55,ring,ingen nettside
Kambo Tannklinikk,Moss,Emilia Rudnicka,69 25 25 00,ring,ingen nettside
Jeløy Tannklinikk AS,Moss,Helene Kristiansen Myhre,478 61 000,ring,ingen nettside
Tannlege Anders Tvete,Moss,Anders Tvete,,finn tlf,ingen nettside
Tannlege Olav Johansen,Moss,Olav Johansen,,finn tlf,ingen nettside
Tannlege Gisle Lauvstad,Mysen,Gisle Tore Lauvstad,971 30 701,ring,ingen nettside
Storbyen Tannklinikk,Sarpsborg,Karianne Borgmo,69 16 01 30,ring,ingen nettside
Tannlege Kjetil Pedersen,Sarpsborg,Kjetil Pedersen,,finn tlf,ingen nettside
Tannlege Anders Godberg,Sarpsborg,Anders Godberg,,finn tlf,ingen nettside
Tannlege Muayad Khalid Ali,Drammen,Muayad Khalid Ali,,finn tlf,ingen nettside
Tannlege Torill Nordhus Claudi,Drammen,Torill Nordhus Claudi,,finn tlf,ingen nettside
Tannlege Ståle Bratland,Krokstadelva,Ståle Bratland,,finn tlf,ingen nettside
Ringerike Tannlegesenter AS,Hønefoss,Bjørn Even Asvald Gulsvik,32 12 10 07,ring,ingen nettside
Tannlege Kristi Marie Aasand,Åmot (Modum),Kristi Marie Aasand,,finn tlf,ingen nettside
Tannlege Govind Bagri,Tønsberg,Govind Bagri,,finn tlf,ingen nettside
Bellevue Tannhelse AS,Nøtterøy,Kjersti Gjertrud Kvello,33 40 18 36,ring,ingen nettside
