clinic,area,phone,email,website,owner,status,notes
Din Tannklinikk,Helsfyr / Oslo øst,+47 22 42 42 49,post@dintannklinikk.no,dintannklinikk.no,Manzar Arafat Din,ALLEREDE KONTAKTET,fra tidligere utsendelse
Oslo Tannlegesenter,Sentrum (Vika),+47 22 42 49 50,post@oslotannlegesenter.no,oslotannlegesenter.no,Labiba Abu Nima,ALLEREDE KONTAKTET,fra tidligere utsendelse (Labiba)
Tannlege Oslo AS,Grønland,+47 21 64 64 10,post@oslotannlegeklinikk.no,oslotannlegeklinikk.no,Wesam Baghher Taki Almashat,ready,e-post funnet
Tøyen Tannlegevakt,Tøyen / Oslo øst,+47 22 19 18 00,tannlegesenter@gmail.com,toyentannlegevakt.no,Ravinder Vir Randawa,ALLEREDE KONTAKTET,fra tidligere utsendelse
Sentrum Tannlegevakt & Tannlegeklinikk,Sentrum,+47 22 20 10 10,sentrumtannlegevakt@gmail.com,sentrumtannlegeklinikk.no,,ALLEREDE KONTAKTET,fra tidligere utsendelse
Tannlegene på Sinsen,Sinsen,+47 22 15 74 64,post@tannlegesinsen.no,tannlegesinsen.no,,ready,e-post funnet
Bærum-Sandvika Tannlegevakt,Sandvika,+47 99 11 11 16,post@bstannlegevakt.no,bstannlegevakt.no,Omar Al-Jubory,ALLEREDE KONTAKTET,fra tidligere utsendelse (Omar)
Sandvika Tannlegevakt,Sandvika,+47 97 77 37 12,stlv@live.no,sandvikatannlegevakt.no,Naunihal Singh,ready,e-post funnet
Eurodent Oslo,Sentrum,+47 21 06 66 66,,eurodent.no,,finn kontakt,e-post ikke funnet – kontaktskjema på nettsiden
Youngstorget Tannlegesenter,Sentrum,+47 96 66 83 33,pasient@oslotannakutt.no,oslotannakutt.no,,ready,e-post funnet
Emaljen Tannklinikk,Sentrum,+47 22 33 32 58,post@emaljentannklinikk.no,emaljentannklinikk.no,Inas Dhia Sadik Alrawaf,ALLEREDE KONTAKTET,fra tidligere utsendelse (Inas)
Orbdent Oslo AS,Sentrum,+47 22 42 04 16,oslo@orbdent.com,orbdent.no,,ready,e-post funnet
Oslo Sentrum Tannklinikk,Sentrum,+47 21 38 60 65,post@oslosentrumtannklinikk.no,oslosentrumtannklinikk.no,,ALLEREDE KONTAKTET,fra tidligere utsendelse
Dental Studio Ensjø/Lørenskog,Lørenskog + Ensjø,+47 95 02 40 40,ensjo@dentalstudio.no,dentalstudio.no,,I clinics.csv,allerede i e-postkø
Lørenskog Tannklinikk AS,Lørenskog,+47 67 90 17 90,post@lorenskogtannklinikk.no,lorenskogtannklinikk.no,,I clinics.csv,allerede i e-postkø
Dental Center Lørenskog,Lørenskog,+47 67 91 72 00,post@tannhelsesenter.no,tannhelsesenter.no,,ready,e-post funnet (samme senter som Tannhelsesenteret Lørenskog)
Lørenskog Tannlegesenter,Lørenskog,+47 67 90 40 90,kontakt@lorenskogtannlege.no,lorenskogtannlege.no,,I clinics.csv,allerede i e-postkø
NurDent Lillestrøm Tannlegesenter,Lillestrøm,+47 41 79 25 35,kontakt@nurdent.no,nurdent.no,,ready,e-post funnet
Strømmen Tannhelse og Tannlegevakt,Strømmen,+47 46 28 98 00,post@strommentannhelse.no,strommentannhelse.no,Bhavna Pathania,ready,e-post fra ark
Lillestrøm Tannhelse,Lillestrøm,+47 90 11 19 19,post@lillestromtannhelse.no,lillestromtannhelse.no,Burim Nurkasa,ready,e-post fra ark
