name,orgnr,form,ansatte,nace,website,email
RENT RENHOLDSTJENESTER AS,994311344,AS,736,81.210,rent.no,post@rent.no
RA HOSPITALITY OSLO AS,914563569,AS,693,81.210,rahospitality.no,info@rahospitality.no
COOR SERVICE MANAGEMENT AS,983219721,AS,578,81.210,www.coor.no,firmapost@coor.com
LIVING CLEAN RENHOLD AS,997963164,AS,375,81.210,www.livingclean.no,kontakt@livingclean.no
NORDN AS,987704918,AS,305,81.210,www.2clean.no,post@2clean.no
CITYMAID HJEMMESERVICE AS,948283697,AS,262,81.210,citymaid.no,kundeservice@citymaid.no
TRIPPEL BEDRIFTSSERVICE AS,981275985,AS,232,81.210,www.trippelbs.no,post@trippelbs.no
FRESKA NORWAY AS,916035659,AS,166,81.210,www.freska.no,post@freska.no
EUROMILJØ RENT AS,911790211,AS,129,81.210,heltopplagt.no,post@heltopplagt.no
REN SERVICE AS,987066628,AS,122,81.210,www.renservice.no,post@renservice.no
EUROX RENHOLD AS,998576636,AS,111,81.210,www.euroxrenhold.no,post@eurox.no
CLEAN UNIT RENHOLD AS,895215902,AS,97,81.210,cleanunit.no,renhold@cleanunit.no
RENHOLD SENTER AS,827410012,AS,76,81.210,renholdsenter.no,post@renholdsenter.no
KAN RENHOLD OSLO AS,977040892,AS,75,81.210,www.kanrenhold.no,nikoleta@kanrenhold.no
JUST RENHOLD AS,919930535,AS,69,81.210,www.justrenhold.no,drift@justrenhold.no
RENE TRAPPER AS,989269631,AS,68,81.210,renetrapper.no,kontakt@renetrapper.no
BJERKE EIENDOMSSERVICE AS,985847487,AS,54,81.210,www.bjerkerenhold.no,kundeservice@bjerkeeiendomsservice.no
CENTRUM VINDUSPUSS & RENGJØRINGSBYRÅ AS,911022346,AS,54,81.210,www.centrum.as,post@centrum.as
AURORA RENHOLD AS,913169573,AS,53,81.210,www.aurorarenhold.no,post@aurorarenhold.no
SPOTLESS RENHOLD AS,933725685,AS,50,81.210,spotlessrenhold.no,post@spotlessrenhold.no
RENHOLDSCOMPAGNIET AS,999543103,AS,47,81.210,www.renholdscompagniet.no,faktura@renholdscompagniet.no
RENHOLDSSYSTEMER AS,995879107,AS,47,81.210,renholdssystemer.no,kontakt@renholdssystemer.no
FALKEN RENHOLD AS,978651526,AS,46,81.210,falkenrenhold.no,firma@falkenrenhold.no
PARTNEREN AS,997929284,AS,43,81.210,partneren.no,post@partneren.no
RYDJE RENHOLD OSLO/AKERSHUS AS,998066034,AS,41,81.210,rydje-renhold.no,roar@rydje-renhold.no
RENT BORD RENHOLDSSERVICE AS,832175242,AS,40,81.210,rentbord.no,kontakt@rentbord.no
CLEAN-START AS,997178068,AS,39,81.210,www.clean-start.no,post@clean-start.no
NOVA SERVICE AS,927081644,AS,38,81.210,novaservice.no,info@novaservice.no
CLEANIT AS,982463157,AS,33,81.210,www.cleanit.no,post@cleanit.no
HAVFRUEN RENHOLD AS,989519506,AS,31,81.210,havfruenrenhold.no,post@havfruenrenhold.no
ACO RENGJØRING AS,999137504,AS,30,81.210,acorengjoring.no,al@acorengjoring.no
MASTER RENHOLD & VAKTMESTER SERVICE AS,821505712,AS,27,81.210,www.masterrenhold.no,post@masterrenhold.no
VASKELADDEN AS,930307416,AS,27,81.210,www.vaskeladden.no,kundeservice@vaskeladden.no
COMPLETE CLEANING AS,921642024,AS,26,81.210,completecleaning.no,post@completecleaning.no
CLEANBEE AS,931133349,AS,24,81.210,cleanbee.no,nea@cleanbee.no
RENE ROM AS,985217114,AS,23,81.210,www.renerom.no,kontakt@renerom.no
TIVETA RENHOLD AS,920899374,AS,23,81.210,tiveta.no,post@tiveta.no
MAXIMUM SERVICE AS,987639938,AS,22,81.210,maximumservice.no,info@maximumservice.no
QUALIFIED RENHOLD AS,912661776,AS,22,81.210,www.qualifiedrenhold.no,post@qualifiedrenhold.no
MELISA RENHOLDSSERVICE AS,992445971,AS,21,81.210,melisarenhold.no,post@melisarenhold.no
RENTHUS AS,919365552,AS,21,81.210,,renthusas@outlook.com
SIMONE-RENHOLD AS,932611708,AS,20,81.210,simone.as,gabriel@simone.as
NEAS FASADE AS,921852320,AS,19,81.220,neasfasade.no,lph@neasfasade.no
BAKERI OG RESTAURANTRENHOLD AS,924351330,AS,18,81.210,bakerirenhold.no,jj@bakerirenhold.no
NORPOL RENHOLD AS,918760644,AS,18,81.210,norpolrenhold.no,post@norpolrenhold.no
SOLID DRIFT AS,993745707,AS,17,81.210,www.soliddrift.no,post@soliddrift.no
OSLO FASADEVASK AS,915186467,AS,15,81.220,www.oslofasadevask.no,post@oslofasadevask.no
FRISK SERVICE AS,997627504,AS,14,81.210,www.friskservice.no,post@friskservice.no
RENHOLDSFIRMAET AS,931759493,AS,14,81.210,www.renholdsfirmaet.no,info@renholdsfirmaet.no
LISA ULTRA VEDLIKEHOLD AS,999079512,AS,14,81.210,luv-as.no,luv-as@hotmail.no
BK DRIFT AS,818866402,AS,13,81.210,bkdrift.no,post@bkdrift.no
GREFSEN RENHOLDSSERVICE AS,964923086,AS,12,81.210,grefsen-renhold.no,post@grefsen-renhold.no
KONGE RENGJØRING AS,987002735,AS,12,81.210,kongerengjoring.no,post@kongerengjoring.no
XPERT RENHOLD AS,916633734,AS,12,81.210,xpertrenhold.no,post@xpertrenhold.no
ASKA SERVICES AS,917994021,AS,11,81.210,www.askaservices.no,post@askaservices.no
CHRISTIANIA FLYTT & VASK AS,830352562,AS,11,81.210,christianiavask.no,kundeservice@christianiavask.no
RENHOLDS TEAM AS,922674469,AS,10,81.210,renholdsteam.no,renholdsteam@gmail.com
RENHOLDSEKSPERTENE AS,912850447,AS,10,81.210,renholdsekspertene.no,kontakt@renholdekspertene.no
SPEILRENT AS,935120721,AS,10,81.210,speilrent.no,post@speilrent.no
ØKO-RENT STABELL RENHOLD & VEDLIKEHOLD,983409911,ENK,10,81.210,,post@okorent.no
BYVASK DRIFT FJELLTVEIT,982674034,ENK,9,81.220,byvask.no,post@byvask.no
MAJORSTUEN RENS OG RENHOLD AS,994911074,AS,9,81.210,rensogrenhold.no,post@rensogrenhold.no
MG MULTISERVICE AS,932744457,AS,9,81.210,mgmultiservice.no,info@mgmultiservice.no
RENVASKING AS,932542994,AS,9,81.210,renvasking.no,gosia@renvasking.no
TEAMCLEAN AS,976583019,AS,9,81.210,teamclean.no,geir@teamclean.no
AF RENHOLD AS,933789365,AS,8,81.210,,agata.isabela@hotmail.com
OSLO BUD O REN AS,898579042,AS,7,81.210,www.budoren.no,post@budoren.no
BENDIKAS TJENESTER AS,925127507,AS,7,81.210,,ingrida.bendikiene@gmail.com
BØTTEBALLETTEN AS,932750481,AS,7,81.210,,post@botteballetten.com
ELEGANCE RENHOLD AS,925159948,AS,7,81.210,,thivakary@icloud.com
NORDN GRUPPEN AS,919931108,AS,7,81.210,2group.no,post@2group.no
TOTAL TJENESTE AS,929668014,AS,7,81.210,totaltjeneste.no,post@totaltjeneste.no
PUST VENTILASJON AS,933470725,AS,7,81.220,pustventilasjon.no,info@pustventilasjon.no
NORDA RENHOLD AS,989301543,AS,6,81.210,www.nordarenhold.no,mail@norda-renhold.no
EFFISERVICE AS,916821883,AS,6,81.210,www.clicke.no,post@effiservice.no
FLORI RENHOLD AS,913102673,AS,6,81.210,,florjana5@hotmail.de
PROFF RENHOLD1 AS,921187173,AS,6,81.210,proffrenhold1.no,info@proffrenhold1.no
VEI & FASADE AS,928873641,AS,6,81.220,veiogfasade.no,dag@veiogfasade.no
STOPP TAGGING AS,987377348,AS,5,81.220,www.stopptagging.no,vidar@graffi.no
